,index,Filepath,Label

0,6267,kaggle\archive\train\ASIAN GREEN BEE EATER\1.jpg,ASIAN GREEN BEE EATER
1,6268,kaggle\archive\train\ASIAN GREEN BEE EATER\10.jpg,ASIAN GREEN BEE EATER
2,6269,kaggle\archive\train\ASIAN GREEN BEE EATER\100.jpg,ASIAN GREEN BEE EATER
3,6270,kaggle\archive\train\ASIAN GREEN BEE EATER\101.jpg,ASIAN GREEN BEE EATER
4,6271,kaggle\archive\train\ASIAN GREEN BEE EATER\102.jpg,ASIAN GREEN BEE EATER
5,6272,kaggle\archive\train\ASIAN GREEN BEE EATER\103.jpg,ASIAN GREEN BEE EATER
6,6273,kaggle\archive\train\ASIAN GREEN BEE EATER\104.jpg,ASIAN GREEN BEE EATER
7,6274,kaggle\archive\train\ASIAN GREEN BEE EATER\105.jpg,ASIAN GREEN BEE EATER
8,6275,kaggle\archive\train\ASIAN GREEN BEE EATER\106.jpg,ASIAN GREEN BEE EATER
9,6276,kaggle\archive\train\ASIAN GREEN BEE EATER\107.jpg,ASIAN GREEN BEE EATER
10,6277,kaggle\archive\train\ASIAN GREEN BEE EATER\108.jpg,ASIAN GREEN BEE EATER
11,6278,kaggle\archive\train\ASIAN GREEN BEE EATER\109.jpg,ASIAN GREEN BEE EATER
12,6279,kaggle\archive\train\ASIAN GREEN BEE EATER\11.jpg,ASIAN GREEN BEE EATER
13,6280,kaggle\archive\train\ASIAN GREEN BEE EATER\110.jpg,ASIAN GREEN BEE EATER
14,6281,kaggle\archive\train\ASIAN GREEN BEE EATER\111.jpg,ASIAN GREEN BEE EATER
15,6282,kaggle\archive\train\ASIAN GREEN BEE EATER\112.jpg,ASIAN GREEN BEE EATER
16,6283,kaggle\archive\train\ASIAN GREEN BEE EATER\113.jpg,ASIAN GREEN BEE EATER
17,6284,kaggle\archive\train\ASIAN GREEN BEE EATER\114.jpg,ASIAN GREEN BEE EATER
18,6285,kaggle\archive\train\ASIAN GREEN BEE EATER\115.jpg,ASIAN GREEN BEE EATER
19,6286,kaggle\archive\train\ASIAN GREEN BEE EATER\116.jpg,ASIAN GREEN BEE EATER
20,6287,kaggle\archive\train\ASIAN GREEN BEE EATER\117.jpg,ASIAN GREEN BEE EATER
21,6288,kaggle\archive\train\ASIAN GREEN BEE EATER\118.jpg,ASIAN GREEN BEE EATER
